"Date","grey (eco)","grey (big)","blue","yellow","green","orange","brown","red"
01.10.2014,,,,,"'4'",,,
02.10.2014,,,,"'4'",,,,
03.10.2014,,,,,,,,
04.10.2014,,,,,,,,
05.10.2014,,,,,,,,
06.10.2014,,,,"'3'","'2'",,,
07.10.2014,"b","'1'",,"'1'","'1'","'1'",,
08.10.2014,,,,,"'3'",,,
09.10.2014,,,"'3'",,"'4'",,,
10.10.2014,,,,,,,,
11.10.2014,,,,,,,,
12.10.2014,,,,,,,,
13.10.2014,,,,,"'2'",,,
14.10.2014,,"'2'",,"'2'","'1'","'2'",,
15.10.2014,,,,,"'3'",,,
16.10.2014,,,,"'4'","'4'",,,
17.10.2014,,,,,,,,
18.10.2014,,,,,,,,
19.10.2014,,,,,,,,
20.10.2014,,,,"'3'","'2'",,,
21.10.2014,,"'1'","'1'","'1'","'1'","'3'",,
22.10.2014,,,,,"'3'",,,
23.10.2014,,,,,"'4'",,,
24.10.2014,,,,,,,,
25.10.2014,,,,,,,,
26.10.2014,,,,,,,,
27.10.2014,,,"'4'",,"'2'",,,
28.10.2014,"a","'2'","'2'","'2'","'1'","'4'",,
29.10.2014,,,,,"'3'",,,
30.10.2014,,,,"'4'","'4'",,,
31.10.2014,,,,,,,,
01.11.2014,,,,,,,,
02.11.2014,,,,,,,,
03.11.2014,,,,"'3'","'2'",,,
04.11.2014,"b","'1'",,"'1'","'1'","'1'",,
05.11.2014,,,,,"'3'",,,
06.11.2014,,,"'3'",,"'4'",,,
07.11.2014,,,,,,,,
08.11.2014,,,,,,,,
09.11.2014,,,,,,,,
10.11.2014,,,,,"'2'",,,
11.11.2014,,"'2'",,"'2'","'1'","'2'",,
12.11.2014,,,,,"'3'",,,
13.11.2014,,,,"'4'","'4'",,,
14.11.2014,,,,,,,,
15.11.2014,,,,,,,,
16.11.2014,,,,,,,,
17.11.2014,,,,"'3'","'2'",,,
18.11.2014,,"'1'","'1'","'1'","'1'","'3'",,
19.11.2014,,,,,"'3'",,,
20.11.2014,,,,,"'4'",,,
21.11.2014,,,,,,,,
22.11.2014,,,,,,,,
23.11.2014,,,,,,,,
24.11.2014,,,"'4'",,,,"a2",
25.11.2014,"a","'2'","'2'","'2'",,"'4'","a1",
26.11.2014,,,,,,,"a3",
27.11.2014,,,,"'4'",,,"a4",
28.11.2014,,,,,,,,
29.11.2014,,,,,,,,
30.11.2014,,,,,,,,
01.12.2014,,,,"'3'","'2'",,,
02.12.2014,"b","'1'",,"'1'","'1'","'1'",,
03.12.2014,,,,,"'3'",,,
04.12.2014,,,"'3'",,"'4'",,,
05.12.2014,,,,,,,,
06.12.2014,,,,,,,,
07.12.2014,,,,,,,,
08.12.2014,,,,,,,,
09.12.2014,,"'2'",,"'2'",,"'2'",,
10.12.2014,,,,,,,,
11.12.2014,,,,"'4'",,,,
12.12.2014,,,,,,,,
13.12.2014,,,,,,,,
14.12.2014,,,,,,,,
15.12.2014,,,,"'3'","'2'",,,
16.12.2014,,"'1'","'1'","'1'","'1'","'3'",,
17.12.2014,,,,,"'3'",,,
18.12.2014,,,,,"'4'",,,
19.12.2014,,,,,,,,
20.12.2014,"a","'2'","'2','4'",,,,,
21.12.2014,,,,,,,,
22.12.2014,,,,,,,,
23.12.2014,,,,"'2'",,,,
24.12.2014,,,,"'4'",,,,
25.12.2014,,,,,,,,
26.12.2014,,,,,,,,
27.12.2014,,,,,,,,
28.12.2014,,,,,,,,
29.12.2014,,,,"'3'","'2'",,,
30.12.2014,"b","'1'",,"'1'","'1'","'4'",,
31.12.2014,,,,,"'3'",,,
